State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Chattisgarh,Kanker,Sambalpur,Maize,Hybrid,Non-FAQ,11-09-2025,2000,2000,2000
Chattisgarh,Koria,Baikunthpur,Mahua,Mahua,FAQ,11-09-2025,3100,3100,3100
Chattisgarh,Mahasamund,Bagbahra,Maize,Hybrid/Local,Non-FAQ,11-09-2025,1900,1900,1900
Chattisgarh,Mahasamund,Basana,Paddy(Dhan)(Common),1001,Non-FAQ,11-09-2025,1850,1900,1880
Chattisgarh,Mahasamund,Sarayapali,Paddy(Dhan)(Common),MTU-1001,Non-FAQ,11-09-2025,1835,1850,1845
Chattisgarh,Mungeli,Munguli,Wheat,Local,FAQ,11-09-2025,2580,2620,2600
Chattisgarh,Rajnandgaon,Bandhabazar,Maize,Hybrid,Non-FAQ,11-09-2025,1850,1900,1900
Goa,North Goa,Mapusa,Green Chilli,Green Chilly,FAQ,11-09-2025,3800,3800,3800
Gujarat,Amreli,Babra,Cotton,Shanker 6 (B) 30mm FIne,FAQ,11-09-2025,7425,7725,7575
Gujarat,Amreli,Babra,Wheat,Other,FAQ,11-09-2025,2310,2740,2525
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,11-09-2025,2650,3550,3200
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Local,FAQ,11-09-2025,5680,5680,5680
Gujarat,Amreli,Savarkundla,Cotton,Narma BT Cotton,FAQ,11-09-2025,7250,8090,7800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,FAQ,11-09-2025,2500,3500,3000
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,11-09-2025,1500,2000,1750
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Guar,Other,FAQ,11-09-2025,4000,8000,6000
Gujarat,Banaskanth,Deesa,Mustard,Other,FAQ,11-09-2025,6210,6500,6400
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,11-09-2025,2575,2725,2700
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),Other,FAQ,11-09-2025,2000,2950,2555
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bitter gourd,Other,FAQ,11-09-2025,3500,4250,3875
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Chikoos(Sapota),Other,Medium,11-09-2025,8000,10250,9125
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,11-09-2025,5000,6200,5600
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pomegranate,Other,Medium,11-09-2025,12000,13250,12625
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,11-09-2025,1750,2700,2280
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,11-09-2025,2525,2525,2525
Gujarat,Banaskanth,Thara(Shihori),Wheat,Other,FAQ,11-09-2025,2605,2800,2702.5
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,FAQ,11-09-2025,2000,4000,3000
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,1000,2000,1500
Gujarat,Bharuch,Ankleshwar,Potato,Potato,FAQ,11-09-2025,1000,2000,1500
Gujarat,Bharuch,Bharuch,Coriander(Leaves),Other,FAQ,11-09-2025,1500,2250,2000
Gujarat,Bharuch,Bharuch,Lemon,Other,FAQ,11-09-2025,2000,3000,2500
Gujarat,Bharuch,Bharuch,Mousambi(Sweet Lime),Other,Medium,11-09-2025,1500,2000,1700
Gujarat,Bharuch,Bharuch,Pineapple,Other,Medium,11-09-2025,3000,3500,3200
Gujarat,Bharuch,Jambusar,Castor Seed,Other,FAQ,11-09-2025,5000,6000,5500
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),Other,FAQ,11-09-2025,3000,3600,3300
Gujarat,Bhavnagar,Bhavnagar,Bengal Gram(Gram)(Whole),Other,Non-FAQ,11-09-2025,4900,5735,5315
Gujarat,Bhavnagar,Mahuva(Station Road),Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,11-09-2025,1800,3085,2500
Gujarat,Bhavnagar,Mahuva(Station Road),Groundnut,G20,FAQ,11-09-2025,4075,4075,4075
Gujarat,Bhavnagar,Taleja,Castor Seed,Castor seed,FAQ,11-09-2025,6430,6430,6430
Gujarat,Bhavnagar,Taleja,Wheat,Kalyan,FAQ,11-09-2025,2245,2850,2550
Gujarat,Botad,Botad,Bengal Gram(Gram)(Whole),Other,Non-FAQ,11-09-2025,4400,5755,5050
Gujarat,Botad,Botad(Haddad),Cotton,Shanker 6 (B) 30mm FIne,Non-FAQ,11-09-2025,6000,7705,6900
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Non-FAQ,11-09-2025,5200,5500,5400
Gujarat,Dahod,Dahod,Green Gram (Moong)(Whole),Green (Whole),Non-FAQ,11-09-2025,6800,7400,7200
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,FAQ,11-09-2025,1000,10000,5500
Gujarat,Dahod,Dahod(Veg. Market),Lemon,Other,FAQ,11-09-2025,3000,6000,5000
Gujarat,Dahod,Zalod(Sanjeli),Bajra(Pearl Millet/Cumbu),Other,FAQ,11-09-2025,2350,2625,2625
Gujarat,Dahod,Zalod(Zalod),Maize,Other,FAQ,11-09-2025,2100,2500,2300
Gujarat,Gandhinagar,Kalol,Bajra(Pearl Millet/Cumbu),Other,FAQ,11-09-2025,2300,2355,2325
Gujarat,Gandhinagar,Kalol,Castor Seed,Other,FAQ,11-09-2025,6450,6505,6475
Gujarat,Gandhinagar,Mansa,Kabuli Chana(Chickpeas-White),Kabul,FAQ,11-09-2025,5175,5500,5175
Gujarat,Gandhinagar,Mansa,Wheat,Medium,FAQ,11-09-2025,2650,2880,2725
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bottle gourd,Other,FAQ,11-09-2025,2500,4000,2500
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Cauliflower,Other,FAQ,11-09-2025,4000,5000,4000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Gram Raw(Chholia),Other,FAQ,11-09-2025,5000,10000,7000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),Other,FAQ,11-09-2025,4000,4000,4000
Gujarat,Gir Somnath,Talalagir,Tomato,Other,FAQ,11-09-2025,3000,5000,4000
Gujarat,Gir Somnath,Veraval,Black Gram (Urd Beans)(Whole),Other,FAQ,11-09-2025,6515,7935,7800
Gujarat,Jamnagar,Dhrol,Cummin Seed(Jeera),Other,FAQ,11-09-2025,13100,17300,15200
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,11-09-2025,7000,9350,8175
Gujarat,Jamnagar,Dhrol,Wheat,Other,FAQ,11-09-2025,2150,2590,2370
Gujarat,Jamnagar,Jamnagar,Beans,Other,FAQ,11-09-2025,4500,4900,4825
Gujarat,Jamnagar,Jamnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,11-09-2025,5375,6300,6065
Gujarat,Jamnagar,Jamnagar,Soyabean,Local,FAQ,11-09-2025,3500,4125,4125
Gujarat,Jamnagar,Jamnagar,Wheat,Other,FAQ,11-09-2025,2500,2780,2725
Gujarat,Junagarh,Junagadh,Bajra(Pearl Millet/Cumbu),Bold,FAQ,11-09-2025,1500,2255,1750
Gujarat,Junagarh,Junagadh,Ground Nut Seed,Ground Nut Seed,FAQ,11-09-2025,5500,6650,6000
Gujarat,Junagarh,Visavadar,Corriander seed,Other,FAQ,11-09-2025,5275,6805,6040
Gujarat,Junagarh,Visavadar,Kulthi(Horse Gram),Other,FAQ,11-09-2025,5125,5405,5265
Gujarat,Junagarh,Visavadar,Soyabean,Black,FAQ,11-09-2025,3855,4145,4000
Gujarat,Kachchh,Bhuj,Castor Seed,Castor seed,FAQ,11-09-2025,6375,6462,6418
Gujarat,Kachchh,Bhuj,Onion,Small,FAQ,11-09-2025,1300,1800,1550
Gujarat,Kachchh,K.Mandvi,Bhindi(Ladies Finger),Bhindi,FAQ,11-09-2025,1400,2300,1850
Gujarat,Kheda,Kapadvanj,Tomato,Other,FAQ,11-09-2025,2500,2750,2600
Gujarat,Kheda,Nadiyad(Chaklasi),Bottle gourd,Bottle Gourd,FAQ,11-09-2025,1200,1400,1300
Gujarat,Kheda,Nadiyad(Chaklasi),Brinjal,Brinjal,FAQ,11-09-2025,1100,1500,1250
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,FAQ,11-09-2025,1100,1400,1200
Gujarat,Kheda,Nadiyad(Chaklasi),Tomato,Tomato,Non-FAQ,11-09-2025,1500,2000,1800
Gujarat,Kheda,Nadiyad(Piplag),Cowpea(Veg),Cowpea (Veg),FAQ,11-09-2025,1800,2000,1900
Gujarat,Kheda,Nadiyad(Piplag),Kartali (Kantola),Kartali (Kantola),FAQ,11-09-2025,6500,7000,6800
Gujarat,Kheda,Nadiyad(Piplag),Potato,Potato,FAQ,11-09-2025,1300,1500,1400
Gujarat,Kheda,Nadiyad(Piplag),Tinda,Tinda,FAQ,11-09-2025,2100,2500,2250
Gujarat,Mehsana,Kadi,Castor Seed,Caster,FAQ,11-09-2025,6450,6525,6490
Gujarat,Mehsana,Mehsana,Wheat,Local,FAQ,11-09-2025,2550,2785,2650
Gujarat,Mehsana,Mehsana(Mehsana Veg),Potato,Potato,FAQ,11-09-2025,250,1350,1100
Gujarat,Mehsana,Vijapur(Kukarvada),Wheat,Other,Non-FAQ,11-09-2025,2475,2800,2675
Gujarat,Mehsana,Vijapur(veg),Bottle gourd,Other,FAQ,11-09-2025,250,3000,1600
Gujarat,Mehsana,Vijapur(veg),Potato,Other,Non-FAQ,11-09-2025,900,1000,950
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,11-09-2025,2575,2857,2716
Gujarat,Morbi,Halvad,Bajra(Pearl Millet/Cumbu),Other,FAQ,11-09-2025,1925,1975,1950
Gujarat,Morbi,Halvad,Castor Seed,Other,FAQ,11-09-2025,6380,6420,6395
Gujarat,Morbi,Halvad,Groundnut,Other,FAQ,11-09-2025,4500,6420,6125
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,11-09-2025,7000,9825,9000
Gujarat,Morbi,Morbi,Bottle gourd,Bottle Gourd,FAQ,11-09-2025,500,1000,750
Gujarat,Morbi,Morbi,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,1000,2500,1750
Gujarat,Navsari,Bilimora,Bhindi(Ladies Finger),Other,FAQ,11-09-2025,5000,6000,5500
Gujarat,Navsari,Bilimora,Onion,Nasik,FAQ,11-09-2025,800,1900,1400
Gujarat,Navsari,Navsari,Potato,(Red Nanital),FAQ,11-09-2025,900,1900,1400
Gujarat,Navsari,Navsari,Tomato,Other,FAQ,11-09-2025,1000,2500,1750
Gujarat,Patan,Sami,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,11-09-2025,9000,10125,9500
Gujarat,Patan,Siddhpur,Wheat,Hybrid,FAQ,11-09-2025,2625,2960,2792
Gujarat,Porbandar,Porbandar,Brinjal,Arkasheela Mattigulla,FAQ,11-09-2025,2000,3000,2500
Gujarat,Porbandar,Porbandar,Guar,Gwar,FAQ,11-09-2025,2000,3000,2500
Gujarat,Rajkot,Dhoraji,Soyabean,Yellow,Non-FAQ,11-09-2025,3730,4105,4005
Gujarat,Rajkot,Gondal,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Non-FAQ,11-09-2025,5405,6205,5755
Gujarat,Rajkot,Gondal,Black Gram (Urd Beans)(Whole),Desi,FAQ,11-09-2025,5500,7955,6755
Gujarat,Rajkot,Gondal(Veg.market Gondal),Carrot,Carrot,FAQ,11-09-2025,1500,4500,3000
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,1000,5000,3000
Gujarat,Rajkot,Gondal(Veg.market Gondal),Tomato,Tomato,FAQ,11-09-2025,500,2500,1500
Gujarat,Rajkot,Jasdan,Garlic,Garlic,FAQ,11-09-2025,1500,1500,1500
Gujarat,Rajkot,Jasdan,Mustard,Mustard,FAQ,11-09-2025,5000,7000,5750
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Bengal Gram(Gram)(Whole),Average (Whole),FAQ,11-09-2025,4300,5375,5250
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Onion,Onion,FAQ,11-09-2025,130,1005,650
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Wheat,Lokwan,FAQ,11-09-2025,2555,2775,2725
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Potato,Desi,FAQ,11-09-2025,750,2000,1375
Gujarat,Sabarkantha,Himatnagar,Castor Seed,Castor seed,FAQ,11-09-2025,6500,6540,6500
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,Non-FAQ,11-09-2025,2200,2224,2200
Gujarat,Sabarkantha,Vadali,Wheat,Other,FAQ,11-09-2025,2700,2775,2737
Gujarat,Surat,Mahuva(Anaval),Pointed gourd (Parval),Other,FAQ,11-09-2025,3300,3500,3450
Gujarat,Surat,Nizar(Kukarmuda),Jowar(Sorghum),Other,Non-FAQ,11-09-2025,1950,2045,1988
Gujarat,Surat,Songadh,Guar,Gwar,FAQ,11-09-2025,4500,5500,5000
Gujarat,Surat,Songadh(Umrada),Guar,Guaar,FAQ,11-09-2025,4500,5500,5000
Gujarat,Surat,Surat,Capsicum,Other,FAQ,11-09-2025,4000,6000,5000
Gujarat,Surat,Surat,Carrot,Other,FAQ,11-09-2025,1500,3000,2250
Gujarat,Surat,Surat,Indian Beans (Seam),Other,FAQ,11-09-2025,3500,9000,6250
Gujarat,Surat,Surat,Yam (Ratalu),Other,FAQ,11-09-2025,6000,20000,13000
Gujarat,Surat,Vyra,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,11-09-2025,5250,5750,5500
Gujarat,Surat,Vyra,Paddy(Dhan)(Common),Common,Non-FAQ,11-09-2025,1950,2000,1975
Gujarat,Surendranagar,Vadhvan,Apple,Apple,Medium,11-09-2025,5000,7500,6250
Gujarat,Surendranagar,Vadhvan,Cabbage,Cabbage,FAQ,11-09-2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,11-09-2025,3500,4000,3750
Gujarat,Valsad,Chikli(Khorgam),Tinda,Other,FAQ,11-09-2025,12000,12500,12250
Haryana,Ambala,Ambala Cantt.,Cauliflower,Cauliflower,FAQ,11-09-2025,2000,2500,2200
Haryana,Ambala,Ambala City(Subji Mandi),Tomato,Other,FAQ,11-09-2025,2350,2750,2500
Haryana,Ambala,Barara,Brinjal,Other,FAQ,11-09-2025,600,800,700
Haryana,Ambala,Barara,Cabbage,Other,FAQ,11-09-2025,1000,1000,1000
Haryana,Ambala,Barara,Coriander(Leaves),Coriander,FAQ,11-09-2025,1200,1500,1200
Haryana,Ambala,Naraingarh,Bottle gourd,Bottle Gourd,FAQ,11-09-2025,1500,2500,2200
Haryana,Ambala,Naraingarh,French Beans (Frasbean),Other,FAQ,11-09-2025,5000,6000,5700
Haryana,Ambala,Naraingarh,Guava,Guava,Medium,11-09-2025,1500,5000,3500
Haryana,Ambala,Naraingarh,Pear(Marasebu),Other,Medium,11-09-2025,3000,3000,3000
Haryana,Ambala,Naraingarh,Pomegranate,Pomogranate,Medium,11-09-2025,6000,8000,6500
Haryana,Ambala,Naraingarh,Pumpkin,Pumpkin,FAQ,11-09-2025,1000,1800,1100
Haryana,Ambala,Shahzadpur,Maize,Hybrid/Local,FAQ,11-09-2025,2025,2025,2025
Haryana,Bhiwani,Loharu,Mustard,Other,FAQ,11-09-2025,5750,5750,5750
Haryana,Faridabad,Ballabhgarh,Cabbage,Other,FAQ,11-09-2025,1500,2000,1800
Haryana,Faridabad,Faridabad,Banana,Amruthapani,Large,11-09-2025,700,2000,1350
Haryana,Faridabad,Faridabad,Cabbage,Other,FAQ,11-09-2025,1500,3000,2250
Haryana,Faridabad,"New Grain Market , Faridabad",Tomato,Deshi,Non-FAQ,11-09-2025,1500,2500,2000
Haryana,Fatehabad,Fatehabad,Apple,Other,Medium,11-09-2025,8000,8000,8000
Haryana,Fatehabad,Fatehabad,Cucumbar(Kheera),Other,FAQ,11-09-2025,4000,4000,4000
Haryana,Fatehabad,Fatehabad,Mousambi(Sweet Lime),Other,Medium,11-09-2025,3500,3500,3500
Haryana,Fatehabad,Fatehabad,Pomegranate,Other,Medium,11-09-2025,10000,10000,10000
Haryana,Fatehabad,Ratia,Apple,Other,Large,11-09-2025,3000,8000,5000
Haryana,Fatehabad,Ratia,Potato,Other,FAQ,11-09-2025,500,650,600
Haryana,Fatehabad,Ratia,Tomato,Other,FAQ,11-09-2025,1500,2200,1800
Haryana,Fatehabad,Tohana,Onion,1st Sort,FAQ,11-09-2025,2500,2500,2500
Haryana,Fatehabad,Tohana(New Veg Market),Potato,Potato,FAQ,11-09-2025,800,1000,1000
Haryana,Gurgaon,Sohna,Bhindi(Ladies Finger),Bhindi,FAQ,11-09-2025,2600,4000,3400
Haryana,Hissar,Adampur,Mustard,Other,FAQ,11-09-2025,6978,6978,6978
Haryana,Hissar,Hansi,Bhindi(Ladies Finger),Other,FAQ,11-09-2025,3500,4000,3800
Haryana,Hissar,Hansi,Bottle gourd,Other,FAQ,11-09-2025,3000,4000,3500
Haryana,Hissar,Hansi,French Beans (Frasbean),Other,FAQ,11-09-2025,4000,6000,5000
Haryana,Hissar,Hansi,Lemon,Other,FAQ,11-09-2025,3000,5000,4000
Haryana,Hissar,Hansi,Mousambi(Sweet Lime),Other,Medium,11-09-2025,3000,4000,3500
Haryana,Hissar,Hansi,Ridgeguard(Tori),Other,FAQ,11-09-2025,3500,4000,3900
Haryana,Hissar,Uklana,Bhindi(Ladies Finger),Bhindi,FAQ,11-09-2025,2200,2500,2500
Haryana,Hissar,Uklana,Bottle gourd,Bottle Gourd,FAQ,11-09-2025,3000,3000,3000
Haryana,Hissar,Uklana,Potato,Potato,FAQ,11-09-2025,900,900,900
Haryana,Jhajar,Bahadurgarh,Cabbage,Other,FAQ,11-09-2025,1800,3000,2500
Haryana,Jhajar,Bahadurgarh,Lemon,Other,FAQ,11-09-2025,6000,7000,6500
Haryana,Jhajar,Bahadurgarh,Onion,Other,FAQ,11-09-2025,1500,1800,1600
Haryana,Jhajar,Bahadurgarh,Onion,Other,Non-FAQ,11-09-2025,1200,1600,1400
Haryana,Jhajar,Bahadurgarh,Potato,Other,FAQ,11-09-2025,1200,1300,1250
Haryana,Jhajar,Bahadurgarh,Potato,Other,Non-FAQ,11-09-2025,1100,1250,1200
Haryana,Jind,Narwana,Apple,Other,Medium,11-09-2025,6000,12000,8000
Haryana,Jind,Narwana,Banana,Other,Medium,11-09-2025,1600,1600,1600
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,3500,3500,3500
Haryana,Jind,Narwana,Potato,Other,FAQ,11-09-2025,1800,1800,1800
Haryana,Kaithal,Cheeka,Potato,Other,Non-FAQ,11-09-2025,600,600,600
Haryana,Kaithal,Pundri,Potato,Other,FAQ,11-09-2025,1000,1100,1050
Haryana,Kaithal,Siwan,Onion,Other,FAQ,11-09-2025,2000,2100,2100
Haryana,Karnal,Gharaunda,Apple,Other,Medium,11-09-2025,6000,6000,6000
Haryana,Karnal,"New Grain Market(main), Karnal",Apple,Other,Large,11-09-2025,6000,8000,7000
Haryana,Karnal,"New Grain Market(main), Karnal",Banana,Other,Large,11-09-2025,2400,2600,2500
Haryana,Karnal,"New Grain Market(main), Karnal",Cabbage,Other,FAQ,11-09-2025,1500,2000,1850
Haryana,Karnal,"New Grain Market(main), Karnal",Mousambi(Sweet Lime),Mousambi,Small,11-09-2025,2000,2400,2200
Haryana,Karnal,"New Grain Market(main), Karnal",Onion,Other,Non-FAQ,11-09-2025,1100,1300,1200
Haryana,Karnal,"New Grain Market(main), Karnal",Pomegranate,Pomogranate,Medium,11-09-2025,7000,9000,8000
Haryana,Karnal,"New Grain Market(main), Karnal",Tomato,Other,FAQ,11-09-2025,2000,2200,2100
Haryana,Karnal,"New Grain Market(main), Karnal",Water Melon,Water Melon,Large,11-09-2025,2300,2500,2400
Haryana,Kurukshetra,Ladwa,Banana,Other,Medium,11-09-2025,2500,3000,2500
Haryana,Kurukshetra,Ladwa,Bottle gourd,Bottle Gourd,FAQ,11-09-2025,1000,2000,1500
Haryana,Kurukshetra,Ladwa,Cauliflower,Cauliflower,FAQ,11-09-2025,4000,5000,4000
Haryana,Kurukshetra,Ladwa,Lemon,Lemon,FAQ,11-09-2025,4000,6000,4000
Haryana,Kurukshetra,Ladwa,Onion,Onion,Non-FAQ,11-09-2025,1800,2000,1800
Haryana,Kurukshetra,Ladwa,Pineapple,Pine Apple,Medium,11-09-2025,3000,3000,3000
Haryana,Kurukshetra,Ladwa,Potato,Potato,FAQ,11-09-2025,1200,1500,1200
Haryana,Kurukshetra,Shahabad,Capsicum,Capsicum,FAQ,11-09-2025,5000,6000,5500
Haryana,Kurukshetra,Shahabad,Cauliflower,Cauliflower,FAQ,11-09-2025,4500,6000,5000
Haryana,Kurukshetra,Shahabad,Colacasia,Other,FAQ,11-09-2025,1500,3000,2200
Haryana,Kurukshetra,Shahabad,Green Chilli,Green Chilly,FAQ,11-09-2025,1600,3000,2500
Haryana,Kurukshetra,Shahabad,Orange,Orange,Medium,11-09-2025,5000,5000,5000
Haryana,Kurukshetra,Shahabad,Plum,Other,Medium,11-09-2025,9000,10000,9500
Haryana,Kurukshetra,Shahabad,Tomato,Tomato,Non-FAQ,11-09-2025,1500,2200,2000
Haryana,Kurukshetra,Thanesar,Cabbage,Cabbage,FAQ,11-09-2025,1500,3500,2500
Haryana,Kurukshetra,Thanesar,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,2500,4500,4000
Haryana,Kurukshetra,Thanesar,Guava,Guava,Medium,11-09-2025,1000,6000,3500
Haryana,Kurukshetra,Thanesar,Lemon,Lemon,FAQ,11-09-2025,4000,7000,5500
Haryana,Kurukshetra,Thanesar,Mousambi(Sweet Lime),Mousambi,Medium,11-09-2025,3000,4000,3500
Haryana,Kurukshetra,Thanesar,Pineapple,Pine Apple,Medium,11-09-2025,2500,4500,3500
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,Banana - Ripe,Medium,11-09-2025,2000,2000,2000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Bhindi(Ladies Finger),Bhindi,FAQ,11-09-2025,1500,3500,2000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Bitter gourd,Bitter Gourd,FAQ,11-09-2025,2500,2500,2500
Haryana,Mahendragarh-Narnaul,Mohindergarh,Capsicum,Capsicum,FAQ,11-09-2025,4000,5000,5000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,1500,2500,1800
Haryana,Mahendragarh-Narnaul,Mohindergarh,Pumpkin,Pumpkin,FAQ,11-09-2025,1000,1000,1000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Tender Coconut,Other,Medium,11-09-2025,2500,2500,2500
Haryana,Mahendragarh-Narnaul,Mohindergarh,Tomato,Tomato,FAQ,11-09-2025,2000,2500,2200
Haryana,Mewat,Punhana,Potato,Other,FAQ,11-09-2025,1000,1100,1100
Haryana,Mewat,Punhana,Tomato,Other,FAQ,11-09-2025,3000,3000,3000
Haryana,Palwal,Hassanpur,Tomato,Hybrid,Non-FAQ,11-09-2025,2000,2000,2000
Haryana,Palwal,Hodal,Onion,Onion,FAQ,11-09-2025,1500,1800,1600
Haryana,Palwal,Hodal,Tomato,Hybrid,FAQ,11-09-2025,2000,3000,2500
Haryana,Palwal,Palwal,Bajra(Pearl Millet/Cumbu),Local,FAQ,11-09-2025,2000,2000,2000
Haryana,Palwal,Palwal,Chikoos(Sapota),Sapota,Medium,11-09-2025,2500,2500,2500
Haryana,Palwal,Palwal,Colacasia,Other,FAQ,11-09-2025,1600,1800,1700
Haryana,Palwal,Palwal,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2025,1000,1200,1100
Haryana,Palwal,Palwal,Mousambi(Sweet Lime),Mousambi,Medium,11-09-2025,1800,2000,1900
Haryana,Panchkula,Barwala,Cauliflower,Other,FAQ,11-09-2025,5000,6000,5500
Haryana,Panchkula,Raipur Rai,Bhindi(Ladies Finger),Other,FAQ,11-09-2025,2000,2200,2000
Haryana,Panchkula,Raipur Rai,Bitter gourd,Bitter Gourd,FAQ,11-09-2025,1800,2000,1800
Haryana,Panchkula,Raipur Rai,Cauliflower,Cauliflower,FAQ,11-09-2025,2500,2600,2500
Haryana,Panchkula,Raipur Rai,Pumpkin,Pumpkin,FAQ,11-09-2025,1200,1400,1200
Haryana,Panchkula,Raipur Rai,Ridgeguard(Tori),Other,FAQ,11-09-2025,1400,1600,1400
Haryana,Panipat,Panipat,Bottle gourd,Bottle Gourd,FAQ,11-09-2025,1000,3000,2000
Haryana,Panipat,Panipat,Paddy(Dhan)(Basmati),1121,FAQ,11-09-2025,2800,3200,3000
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,11-09-2025,1500,1500,1500
Haryana,Panipat,Samalkha,Ginger(Dry),Other,FAQ,11-09-2025,6000,6000,6000
